trial_index,arm_name,trial_status,generation_method,obj0,obj1,is_feasible,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0,0_0,COMPLETED,Sobol,-1.9583373069763184,-0.9085112810134888,False,0.27652794122695923,0.8967805504798889,0.6358238458633423,0.09975986182689667,0.19906584918498993,0.9949846863746643,0.14354470372200012,0.03750499710440636,0.8730250597000122,0.5840119123458862,0.2962386906147003,0.42605429887771606,0.2730209529399872,0.28938648104667664,0.8125646114349365,0.3888341784477234,0.4899151921272278,0.7218482494354248,0.4965125024318695,0.955559492111206,0.5652685165405273,0.902144193649292,0.9068732261657715,0.9032898545265198,0.0574122816324234,0.5864676833152771,0.5724561214447021,0.8883794546127319,0.5804716348648071,0.7681956887245178
1,1_0,COMPLETED,Sobol,-0.45440977811813354,-1.2706397771835327,False,0.7813532641157508,0.7299666255712509,0.36176509596407413,0.6716563515365124,0.2933800481259823,0.5266196699813008,0.6906204978004098,0.4599593812599778,0.09710754081606865,0.5657862955704331,0.4727884642779827,0.03346666228026152,0.41352383606135845,0.29659119900316,0.9709424637258053,0.842756561934948,0.1484456155449152,0.9311715215444565,0.5730754351243377,0.6957900691777468,0.6064387774094939,0.13580991979688406,0.618563624098897,0.2710225023329258,0.12250353302806616,0.6875262819230556,0.14921194594353437,0.4397255415096879,0.3201282601803541,0.7109887236729264
2,2_0,COMPLETED,Sobol,-1.3106333017349243,-1.1517971754074097,False,0.458992431871593,0.058225407265126705,0.41606417018920183,0.6360391667112708,0.6367437336593866,0.5454541714861989,0.0042885178700089455,0.3510592645034194,0.9386570500209928,0.29262353852391243,0.6680349372327328,0.4478826094418764,0.18786851596087217,0.5496122566983104,0.15448672324419022,0.4636954190209508,0.7213312266394496,0.6789519349113107,0.38386344630271196,0.02579320687800646,0.518350400030613,0.5041634999215603,0.32160508166998625,0.8494799165055156,0.38625461608171463,0.9334182012826204,0.390113472007215,0.9412917569279671,0.6518529495224357,0.2759638847783208
3,3_0,COMPLETED,Sobol,-1.391521692276001,-1.2648959159851074,False,0.4696766249835491,0.07970880810171366,0.35233990103006363,0.6787634529173374,0.8453201055526733,0.03485265839844942,0.8281884603202343,0.8623005412518978,0.24411899410188198,0.3997666332870722,0.7228132765740156,0.08844335284084082,0.12225198186933994,0.07359870709478855,0.9060049308463931,0.7750502331182361,0.19323567021638155,0.18291451036930084,0.43809123151004314,0.2524653282016516,0.45624632202088833,0.06837000139057636,0.7871801238507032,0.3318328009918332,0.05412186589092016,0.7607112601399422,0.40445169247686863,0.05850592814385891,0.12915209587663412,0.22021081671118736
4,4_0,COMPLETED,Sobol,-0.6317173838615417,-1.717244029045105,False,0.7755899261683226,0.7466903300955892,0.21983941737562418,0.875388597138226,0.8892622757703066,0.6358161997050047,0.8080599969252944,0.7292665475979447,0.09070867206901312,0.24596234504133463,0.8805404109880328,0.2857758803293109,0.3917441237717867,0.15138835180550814,0.531428667716682,0.00040838122367858887,0.4033953733742237,0.9789046589285135,0.15003363508731127,0.8474657218903303,0.20528640504926443,0.6931995432823896,0.42778575513511896,0.9736964162439108,0.6960743982344866,0.6773947924375534,0.27877108100801706,0.5472076432779431,0.9995081564411521,0.24035547953099012
5,5_0,COMPLETED,Sobol,-1.6364707946777344,-1.2875220775604248,False,0.42438354156911373,0.11720359604805708,0.8647820083424449,0.8261314677074552,0.7502261912450194,0.02426887769252062,0.28097973857074976,0.1261369539424777,0.19259839411824942,0.14628680422902107,0.11152243614196777,0.9025853322818875,0.32874545454978943,0.6392691051587462,0.13146707974374294,0.30239551700651646,0.3517269641160965,0.7679176535457373,0.3908294755965471,0.9210661165416241,0.15394111815840006,0.03116443380713463,0.21557044703513384,0.8376410519704223,0.45172816049307585,0.1401741337031126,0.7238579671829939,0.9590024137869477,0.9159549819305539,0.6735171601176262
6,6_0,COMPLETED,Sobol,-1.7636305093765259,-0.8514615297317505,False,0.28634156472980976,0.948943305760622,0.6373143745586276,0.6102356538176537,0.0971485348418355,0.9699821081012487,0.45411977730691433,0.4887277716770768,0.17921772319823503,0.012609632685780525,0.48176274728029966,0.8577859066426754,0.24273870512843132,0.3740261858329177,0.45330660976469517,0.5257629975676537,0.6401096740737557,0.43180725257843733,0.3087723394855857,0.30702839884907007,0.3944745948538184,0.7849881136789918,0.018896098248660564,0.1327802361920476,0.17917840275913477,0.20117258746176958,0.286304528824985,0.7214614236727357,0.3832435132935643,0.32456114422529936
7,7_0,COMPLETED,Sobol,-0.0075310212559998035,-1.6361054182052612,False,0.9970696661621332,0.6020145704969764,0.1464235819876194,0.5146519914269447,0.4169902438297868,0.28400573320686817,0.18185434583574533,0.05752918031066656,0.8417885610833764,0.6820006361231208,0.3483737427741289,0.9312247689813375,0.07532970793545246,0.022583299316465855,0.8938556388020515,0.9773867446929216,0.5162269892171025,0.39250487834215164,0.8327407538890839,0.9451454468071461,0.6565641658380628,0.12069744151085615,0.7423160187900066,0.3616392007097602,0.5665522590279579,0.7410905258730054,0.7296523321419954,0.3743803175166249,0.21819917857646942,0.32371960952878
8,8_0,COMPLETED,Sobol,-1.8164238929748535,-1.1335837841033936,False,0.35519148502498865,0.9649879205971956,0.16749707702547312,0.43907794915139675,0.845395352691412,0.46782970521599054,0.9522443003952503,0.011162329465150833,0.6887117577716708,0.9595731487497687,0.6647372227162123,0.14519433211535215,0.2929616430774331,0.6463019736111164,0.5284250369295478,0.21486112102866173,0.3352671293541789,0.24228987470269203,0.7772361757233739,0.01988092064857483,0.2786111496388912,0.18648461997509003,0.25212986022233963,0.012104039080440998,0.7019520243629813,0.7468500444665551,0.052964018657803535,0.9635282680392265,0.3894545156508684,0.7746161073446274
9,9_0,COMPLETED,Sobol,-0.5256762504577637,-1.7195117473602295,False,0.8111216351389885,0.7615447249263525,0.5838925102725625,0.4158181883394718,0.5982019603252411,0.8113958397880197,0.05881412606686354,0.34064704459160566,0.9723143829032779,0.9071973618119955,0.09242063295096159,0.34867678117007017,0.9308583904057741,0.08560778293758631,0.9538636161014438,0.8849653583019972,0.7791873589158058,0.7356633394956589,0.5655316403135657,0.3587585184723139,0.5422192895784974,0.056385730393230915,0.8652030797675252,0.42108971159905195,0.2161186132580042,0.9535716651007533,0.9364596148952842,0.5131917977705598,0.48711699340492487,0.10224239621311426
