"variable","date","value"
"flow_cms",2000-05-16,0.0991089645
"flow_cms",2000-05-17,0.1019406492
"flow_cms",2000-05-18,0.1160990727
"flow_cms",2000-05-19,5.408517777
"flow_cms",2000-05-20,1.104357033
"flow_cms",2000-05-21,0.56633694
"flow_cms",2000-05-22,0.368119011
"flow_cms",2000-05-23,0.28316847
"flow_cms",2000-05-24,0.2661783618
"flow_cms",2000-05-25,0.1755644514
"flow_cms",2000-05-26,0.1217624421
"flow_cms",2000-05-27,0.1160990727
"flow_cms",2000-05-28,3.766140651
"flow_cms",2000-05-29,2.350298301
"flow_cms",2000-05-30,0.707921175
"flow_cms",2000-05-31,0.396435858
"flow_cms",2000-06-01,0.2690100465
"flow_cms",2000-06-02,0.1953862443
"flow_cms",2000-06-03,0.1274258115
"flow_cms",2000-06-04,0.1076040186
"flow_cms",2000-06-05,0.679604328
"flow_cms",2000-06-06,6.456241116
"flow_cms",2000-06-07,0.792871716
"flow_cms",2000-06-08,0.453069552
"flow_cms",2000-06-09,0.2605149924
"flow_cms",2000-06-10,0.1642377126
"flow_cms",2000-06-11,0.113267388
"flow_cms",2000-06-12,0.424752705
"flow_cms",2000-06-13,0.679604328
"flow_cms",2000-06-14,0.453069552
"flow_cms",2000-06-15,0.877822257
"flow_cms",2000-06-16,3.369704793
"flow_cms",2000-06-17,3.058219476
"flow_cms",2000-06-18,14.1584235
"flow_cms",2000-06-19,1.897228749
"flow_cms",2000-06-20,0.764554869
"flow_cms",2000-06-21,1.500792891
"flow_cms",2000-06-22,0.707921175
"flow_cms",2000-06-23,0.396435858
"flow_cms",2000-06-24,0.2661783618
"flow_cms",2000-06-25,0.622970634
"flow_cms",2000-06-26,0.453069552
"flow_cms",2000-06-27,0.28316847
"flow_cms",2000-06-28,0.2152080372
"flow_cms",2000-06-29,0.1925545596
"flow_cms",2000-06-30,0.1670693973
"flow_cms",2000-07-01,0.0934455951
"flow_cms",2000-07-02,0.0764554869
"flow_cms",2000-07-03,0.736238022
"flow_cms",2000-07-04,0.821188563
"flow_cms",2000-07-05,0.28316847
"flow_cms",2000-07-06,0.1868911902
"flow_cms",2000-07-07,0.1104357033
"flow_cms",2000-07-08,0.0764554869
"flow_cms",2000-07-09,0.0622970634
"flow_cms",2000-07-10,0.1019406492
"flow_cms",2000-07-11,0.113267388
"flow_cms",2000-07-12,0.0651287481
"flow_cms",2000-07-13,0.0481386399
"flow_cms",2000-07-14,0.0538020093
"flow_cms",2000-07-15,0.0736238022
"flow_cms",2000-07-16,1.359208656
"flow_cms",2000-07-17,0.396435858
"flow_cms",2000-07-18,0.1444159197
"flow_cms",2000-07-19,0.0877822257
"flow_cms",2000-07-20,0.0622970634
"flow_cms",2000-07-21,0.0424752705
"flow_cms",2000-07-22,0.0368119011
"flow_cms",2000-07-23,0.028316847
"flow_cms",2000-07-24,0.0226534776
"flow_cms",2000-07-25,0.01783961361
"flow_cms",2000-07-26,0.01472476044
"flow_cms",2000-07-27,0.01245941268
"flow_cms",2000-07-28,0.01076040186
"flow_cms",2000-07-29,0.2803367853
"flow_cms",2000-07-30,0.538020093
"flow_cms",2000-07-31,0.0962772798
"flow_cms",2000-08-01,0.0538020093
"flow_cms",2000-08-02,0.0481386399
"flow_cms",2000-08-03,0.2067129831
"flow_cms",2000-08-04,0.1019406492
"flow_cms",2000-08-05,0.0453069552
"flow_cms",2000-08-06,4.275843897
"flow_cms",2000-08-07,6.739409586
"flow_cms",2000-08-08,0.764554869
"flow_cms",2000-08-09,0.368119011
"flow_cms",2000-08-10,0.2633466771
"flow_cms",2000-08-11,0.169901082
"flow_cms",2000-08-12,0.0877822257
"flow_cms",2000-08-13,0.0594653787
"flow_cms",2000-08-14,0.0481386399
"flow_cms",2000-08-15,0.0396435858
"flow_cms",2000-08-16,0.0368119011
"flow_cms",2000-08-17,0.0368119011
"flow_cms",2000-08-18,0.0424752705
"flow_cms",2000-08-19,0.0368119011
"flow_cms",2000-08-20,0.0339802164
"flow_cms",2000-08-21,0.02491882536
"flow_cms",2000-08-22,0.02095446678
"flow_cms",2000-08-23,0.028316847
"flow_cms",2000-08-24,0.02378615148
"flow_cms",2000-08-25,0.0169901082
"flow_cms",2000-08-26,0.01359208656
"flow_cms",2000-08-27,0.02010496137
"flow_cms",2000-08-28,0.01557426585
"flow_cms",2000-08-29,0.01245941268
"flow_cms",2000-08-30,0.00934455951
"flow_cms",2000-08-31,0.00877822257
"flow_cms",2000-09-01,0.00877822257
"flow_cms",2000-09-02,0.0084950541
"flow_cms",2000-09-03,0.00934455951
"flow_cms",2000-09-04,0.02123763525
"flow_cms",2000-09-05,0.02378615148
"flow_cms",2000-09-06,0.0141584235
"flow_cms",2000-09-07,0.0113267388
"flow_cms",2000-09-08,0.0084950541
"flow_cms",2000-09-09,0.00736238022
"flow_cms",2000-09-10,0.1245941268
"flow_cms",2000-09-11,0.1755644514
"flow_cms",2000-09-12,0.0651287481
"flow_cms",2000-09-13,0.0368119011
"flow_cms",2000-09-14,0.02690100465
"flow_cms",2000-09-15,0.02690100465
"flow_cms",2000-09-16,0.02067129831
