 ParallelLakes_decHRUfixDE SWAT+ Jun 13 2022    MODULAR Rev 2020.60.5.5                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null      setl_stor     setlp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        setl_in       setlp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null       setl_out      setlp_out
                                                                      ha           ha-m           ha-m           ha-m             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP            m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP            m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          tons            kgP
   366    12    31  2016         1         1  res1                 0.2009E+02     0.1835E+06     0.1124E+06     0.1588E+04     0.2399E+06     0.4558E+02     0.5867E+02     0.1296E+03     0.1281E+03     0.1121E+02     0.8399E+02     0.2103E+00     0.1105E+00     0.0000E+00     0.5144E+06     0.0000E+00     0.1061E-02     0.2078E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1634E+00     0.2788E+01     0.9760E+07     0.1898E+04     0.1275E+04     0.2948E+04     0.8158E+04     0.4804E+03     0.3819E-02     0.4343E+01     0.1861E+01     0.0000E+00     0.5576E+05     0.3638E-02     0.1926E-01     0.3638E-02     0.3638E-02     0.3638E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9830E+07     0.1654E+04     0.1155E+04     0.2709E+04     0.7117E+04     0.4547E+03     0.2110E+04     0.3910E+01     0.1646E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.2991E-01     0.4736E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2016         2         2  res2                 0.7521E+01     0.6875E+05     0.4206E+05     0.5946E+03     0.6394E+05     0.1235E+02     0.1644E+02     0.3936E+02     0.3757E+02     0.3423E+01     0.2473E+02     0.5811E-01     0.3194E-01     0.0000E+00     0.1796E+06     0.0000E+00     0.8550E-03     0.1410E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5630E-01     0.4447E+00     0.3550E+07     0.6673E+03     0.4579E+03     0.1071E+04     0.2928E+04     0.1752E+03     0.1442E-02     0.1511E+01     0.6411E+00     0.0000E+00     0.1944E+05     0.3578E-02     0.2436E-01     0.3578E-02     0.3578E-02     0.3578E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3576E+07     0.6161E+03     0.4181E+03     0.1014E+04     0.2576E+04     0.1696E+03     0.7790E+03     0.1373E+01     0.5734E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4041E-01     0.5000E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2016         3         3  res3                 0.6614E+01     0.6044E+05     0.3699E+05     0.5228E+03     0.6323E+05     0.1193E+02     0.1576E+02     0.3510E+02     0.3516E+02     0.3024E+01     0.2260E+02     0.5673E-01     0.3041E-01     0.0000E+00     0.1518E+06     0.0000E+00     0.2976E-01     0.3390E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4823E-01     0.7099E+00     0.2935E+07     0.5618E+03     0.3766E+03     0.8701E+03     0.2435E+04     0.1424E+03     0.1120E-02     0.1281E+01     0.5492E+00     0.0000E+00     0.1645E+05     0.7140E-02     0.5964E+00     0.7140E-02     0.7163E-02     0.7155E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2958E+07     0.4920E+03     0.3425E+03     0.8041E+03     0.2134E+04     0.1354E+03     0.6265E+03     0.1159E+01     0.4884E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9466E+00     0.9384E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2017         1         1  res1                 0.2011E+02     0.2481E+06     0.1100E+06     0.1585E+04     0.2401E+06     0.2634E+02     0.7123E+01     0.3629E+02     0.4913E+03     0.8349E+01     0.3509E+02     0.2687E-01     0.1457E-01     0.0000E+00     0.5930E+06     0.0000E+00     0.3711E-03     0.1757E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7031E+00     0.2806E+00     0.1435E+08     0.2538E+04     0.1277E+04     0.2910E+04     0.1461E+05     0.8697E+03     0.3610E-02     0.4340E+01     0.1847E+01     0.0000E+00     0.7861E+05     0.3629E-02     0.1994E-01     0.3629E-02     0.3629E-02     0.3629E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1449E+08     0.2260E+04     0.1188E+04     0.2807E+04     0.1180E+05     0.8297E+03     0.2527E+04     0.4057E+01     0.1742E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3467E-01     0.5332E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2017         2         2  res2                 0.7530E+01     0.9298E+05     0.4120E+05     0.5936E+03     0.6400E+05     0.7708E+01     0.1731E+01     0.1006E+02     0.1229E+03     0.2137E+01     0.9531E+01     0.6388E-02     0.3539E-02     0.0000E+00     0.2070E+06     0.0000E+00     0.3660E-03     0.1652E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1413E+00     0.3694E-01     0.5235E+07     0.8886E+03     0.4552E+03     0.1047E+04     0.5238E+04     0.3156E+03     0.1369E-02     0.1507E+01     0.6363E+00     0.0000E+00     0.2741E+05     0.3569E-02     0.2535E-01     0.3569E-02     0.3569E-02     0.3569E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5286E+07     0.8329E+03     0.4208E+03     0.1040E+04     0.4276E+04     0.3086E+03     0.9278E+03     0.1401E+01     0.5980E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4553E-01     0.5566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2017         3         3  res3                 0.6620E+01     0.8173E+05     0.3623E+05     0.5219E+03     0.6328E+05     0.6806E+01     0.1791E+01     0.9447E+01     0.1263E+03     0.2108E+01     0.9123E+01     0.6779E-02     0.3722E-02     0.0000E+00     0.1750E+06     0.0000E+00     0.7416E-02     0.3189E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2010E+00     0.6566E-01     0.4323E+07     0.7506E+03     0.3770E+03     0.8587E+03     0.4358E+04     0.2587E+03     0.1042E-02     0.1281E+01     0.5452E+00     0.0000E+00     0.2319E+05     0.7125E-02     0.6179E+00     0.7122E-02     0.7182E-02     0.7165E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4368E+07     0.6708E+03     0.3504E+03     0.8323E+03     0.3540E+04     0.2480E+03     0.7514E+03     0.1196E+01     0.5139E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1084E+01     0.1048E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2018         1         1  res1                 0.2010E+02     0.2351E+06     0.1048E+06     0.1585E+04     0.2398E+06     0.2900E+02     0.1065E+02     0.2745E+02     0.1654E+03     0.8208E+01     0.2958E+02     0.3319E-01     0.1493E-01     0.0000E+00     0.6788E+06     0.0000E+00     0.5238E-03     0.1259E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9090E+00     0.1949E+00     0.1565E+08     0.2784E+04     0.1463E+04     0.3316E+04     0.2377E+05     0.7381E+03     0.4135E-02     0.4803E+01     0.1952E+01     0.0000E+00     0.8578E+05     0.3629E-02     0.2132E-01     0.3629E-02     0.3629E-02     0.3629E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1578E+08     0.2472E+04     0.1260E+04     0.3119E+04     0.1870E+05     0.7054E+03     0.2680E+04     0.4159E+01     0.1703E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3675E-01     0.5489E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2018         2         2  res2                 0.7529E+01     0.8810E+05     0.3925E+05     0.5936E+03     0.6391E+05     0.8016E+01     0.2353E+01     0.6438E+01     0.4242E+02     0.2108E+01     0.7270E+01     0.7217E-02     0.3316E-02     0.0000E+00     0.2370E+06     0.0000E+00     0.6098E-03     0.1070E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1832E+00     0.2011E-01     0.5700E+07     0.9754E+03     0.5244E+03     0.1202E+04     0.8621E+04     0.2683E+03     0.1517E-02     0.1670E+01     0.6722E+00     0.0000E+00     0.2990E+05     0.3570E-02     0.2649E-01     0.3570E-02     0.3570E-02     0.3570E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5748E+07     0.9134E+03     0.4492E+03     0.1168E+04     0.6722E+04     0.2624E+03     0.9903E+03     0.1439E+01     0.5855E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4799E-01     0.5788E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2018         3         3  res3                 0.6619E+01     0.7745E+05     0.3451E+05     0.5219E+03     0.6320E+05     0.7464E+01     0.2587E+01     0.6713E+01     0.4290E+02     0.2085E+01     0.7414E+01     0.8095E-02     0.3682E-02     0.0000E+00     0.2003E+06     0.0000E+00     0.1229E-01     0.2255E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2609E+00     0.4175E-01     0.4706E+07     0.8233E+03     0.4319E+03     0.9787E+03     0.7105E+04     0.2191E+03     0.1197E-02     0.1417E+01     0.5759E+00     0.0000E+00     0.2531E+05     0.7121E-02     0.6691E+00     0.7121E-02     0.7154E-02     0.7143E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4748E+07     0.7347E+03     0.3718E+03     0.9256E+03     0.5579E+04     0.2103E+03     0.7964E+03     0.1227E+01     0.5030E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1172E+01     0.1083E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2019         1         1  res1                 0.2010E+02     0.2194E+06     0.1077E+06     0.1585E+04     0.2400E+06     0.2191E+02     0.5417E+01     0.1106E+02     0.8179E+02     0.5744E+01     0.1670E+02     0.2736E-01     0.2647E-01     0.0000E+00     0.7615E+06     0.0000E+00     0.3105E-02     0.4517E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1157E+00     0.3416E-01     0.1575E+08     0.2863E+04     0.1651E+04     0.3620E+04     0.3081E+05     0.6488E+03     0.3783E-02     0.5066E+01     0.1905E+01     0.0000E+00     0.8276E+05     0.3629E-02     0.2035E-01     0.3629E-02     0.3629E-02     0.3629E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1586E+08     0.2599E+04     0.1304E+04     0.3378E+04     0.2203E+05     0.6199E+03     0.2739E+04     0.4032E+01     0.1534E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3117E-01     0.4856E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2019         2         2  res2                 0.7527E+01     0.8214E+05     0.4034E+05     0.5934E+03     0.6396E+05     0.6866E+01     0.1679E+01     0.3560E+01     0.2281E+02     0.1608E+01     0.4963E+01     0.8124E-02     0.7585E-02     0.0000E+00     0.2658E+06     0.0000E+00     0.3290E-02     0.3330E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3990E-01     0.5751E-02     0.5753E+07     0.1004E+04     0.5927E+03     0.1313E+04     0.1110E+05     0.2369E+03     0.1373E-02     0.1762E+01     0.6563E+00     0.0000E+00     0.2887E+05     0.3571E-02     0.2565E-01     0.3571E-02     0.3571E-02     0.3571E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5794E+07     0.9509E+03     0.4572E+03     0.1268E+04     0.7653E+04     0.2315E+03     0.1016E+04     0.1374E+01     0.5219E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4262E-01     0.5199E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2019         3         3  res3                 0.6618E+01     0.7222E+05     0.3547E+05     0.5217E+03     0.6325E+05     0.5753E+01     0.1518E+01     0.3113E+01     0.2186E+02     0.1501E+01     0.4540E+01     0.7509E-02     0.7187E-02     0.0000E+00     0.2247E+06     0.0000E+00     0.8449E-01     0.7624E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3415E-01     0.9013E-02     0.4731E+07     0.8464E+03     0.4875E+03     0.1068E+04     0.9158E+04     0.1928E+03     0.1105E-02     0.1495E+01     0.5622E+00     0.0000E+00     0.2442E+05     0.7121E-02     0.6497E+00     0.7121E-02     0.7165E-02     0.7151E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4767E+07     0.7707E+03     0.3824E+03     0.1002E+04     0.6475E+04     0.1849E+03     0.8139E+03     0.1183E+01     0.4514E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1020E+01     0.9687E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    30  2020         1         1  res1                 0.1842E+02     0.2088E+06     0.1062E+06     0.1454E+04     0.2402E+06     0.2278E+02     0.8828E+01     0.2340E+02     0.5701E+03     0.8396E+01     0.2712E+02     0.3587E-01     0.2151E-01     0.0000E+00     0.8248E+06     0.0000E+00     0.1387E-02     0.2476E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2494E+01     0.1889E+00     0.1086E+08     0.2009E+04     0.1010E+04     0.2377E+04     0.4509E+04     0.4227E+03     0.2659E-02     0.3615E+01     0.1603E+01     0.0000E+00     0.6101E+05     0.3330E-02     0.2025E-01     0.3330E-02     0.3330E-02     0.3330E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1096E+08     0.1746E+04     0.9639E+03     0.2225E+04     0.3818E+04     0.3931E+03     0.1839E+04     0.3450E+01     0.1528E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.3536E-01     0.4992E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    30  2020         2         2  res2                 0.6899E+01     0.7823E+05     0.3976E+05     0.5446E+03     0.6404E+05     0.7165E+01     0.2759E+01     0.7328E+01     0.1764E+03     0.2128E+01     0.7856E+01     0.1076E-01     0.6333E-02     0.0000E+00     0.2879E+06     0.0000E+00     0.1527E-02     0.2288E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4869E+00     0.3280E-01     0.3962E+07     0.7053E+03     0.3615E+03     0.8596E+03     0.1605E+04     0.1540E+03     0.1003E-02     0.1257E+01     0.5521E+00     0.0000E+00     0.2128E+05     0.3276E-02     0.2524E-01     0.3276E-02     0.3276E-02     0.3276E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4000E+07     0.6516E+03     0.3466E+03     0.8303E+03     0.1391E+04     0.1477E+03     0.6787E+03     0.1205E+01     0.5290E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4647E-01     0.5153E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    30  2020         3         3  res3                 0.6066E+01     0.6877E+05     0.3496E+05     0.4788E+03     0.6332E+05     0.5964E+01     0.2451E+01     0.6444E+01     0.1605E+03     0.2123E+01     0.7269E+01     0.9913E-02     0.5927E-02     0.0000E+00     0.2434E+06     0.0000E+00     0.3428E-01     0.4376E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7100E+00     0.4987E-01     0.3272E+07     0.5946E+03     0.2984E+03     0.7015E+03     0.1345E+04     0.1255E+03     0.7719E-03     0.1067E+01     0.4730E+00     0.0000E+00     0.1800E+05     0.6535E-02     0.6292E+00     0.6535E-02     0.6549E-02     0.6543E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3305E+07     0.5199E+03     0.2854E+03     0.6609E+03     0.1150E+04     0.1177E+03     0.5471E+03     0.1021E+01     0.4521E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1128E+01     0.9772E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
