"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2886","hru2886","topohru2886","           hyd2886",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.09,0.09087
"    2887","hru2887","topohru2887","           hyd2887",172144,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.06,0.1705
"    2888","hru2888","topohru2888","           hyd2888",172145,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.71,0
"    2889","hru2889","topohru2889","           hyd2889",172205,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.04,0
"    2890","hru2890","topohru2890","           hyd2890",172165,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.12,0.01067
"    2891","hru2891","topohru2891","           hyd2891",172145,"     SC_NT_tile_B","    soilnut_30-40","             null","          snow001","             null","B",0.24,0.00187
"    2892","hru2892","topohru2892","           hyd2892",172165,"          SC_NTcc","    soilnut_30-40","             null","          snow001","             null","B",0.08,0.03412
"    2893","hru2893","topohru2893","           hyd2893",167956,"     CS_RotT_tile","       soilplant1","             null","          snow001","             null","C",0.08,0.05244
"    2894","hru2894","topohru2894","           hyd2894",172205,"       SC_FT_tile","    soilnut_40-50","             null","          snow001","             null","C",0.04,0.07856
"    2895","hru2895","topohru2895","           hyd2895",172165,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.22,0.01949
"    2896","hru2896","topohru2896","           hyd2896",172145,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.23,0.0256
"    2897","hru2897","topohru2897","           hyd2897",172205,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.28,0.1575
"    2898","hru2898","topohru2898","           hyd2898",167956,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.15,0.14049
"    2899","hru2899","topohru2899","           hyd2899",172169,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.49,0.2624
"    2900","hru2900","topohru2900","           hyd2900",172144,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.04,0.14742
"    2901","hru2901","topohru2901","           hyd2901",172205,"     SC_NT_tile_B","    soilnut_50-60","             null","          snow001","             null","C",0.03,0.2152
"    2902","hru2902","topohru2902","           hyd2902",172136,"             CSWS","    soilnut_30-40","             null","          snow001","             null","A",0.02,0.02263
"    2903","hru2903","topohru2903","           hyd2903",172113,"            SC_FT","    soilnut_20-30","             null","          snow001","             null","A",0.04,0.04886
"    2904","hru2904","topohru2904","           hyd2904",172114,"          CS_RT_B","  soilnut_120-130","             null","          snow001","             null","A",0.02,0.0213
"    2905","hru2905","topohru2905","           hyd2905",172202,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.06,0.07976
"    2906","hru2906","topohru2906","           hyd2906",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",3.53,0.15384
"    2907","hru2907","topohru2907","           hyd2907",172145,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",1.66,0.06849
"    2908","hru2908","topohru2908","           hyd2908",172193,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.81,0.10311
"    2909","hru2909","topohru2909","           hyd2909",172123,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.03,0.00847
"    2910","hru2910","topohru2910","           hyd2910",172151,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",1.38,0.13701
"    2911","hru2911","topohru2911","           hyd2911",172203,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.07,0.09338
"    2912","hru2912","topohru2912","           hyd2912",167956,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.23,0.02056
"    2913","hru2913","topohru2913","           hyd2913",172155,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.02,0.05389
"    2914","hru2914","topohru2914","           hyd2914",172136,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.48,0.09156
"    2915","hru2915","topohru2915","           hyd2915",172114,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.15,0.07306
"    2916","hru2916","topohru2916","           hyd2916",172165,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.09,0.06405
