,DECDOY,mt,ots,obs,ob,pt,pb,at,ab,pmt,pmb,pot,pob,m9b,m12b,m12t,o2t,p5b,p9b,p9t,a6t,a10b,b7b,TIMESTAMP_START,TIMESTAMP
0,100.0,0.3441555333333335,0.45551584232863396,0.4924745280167565,,0.24765989999999985,0.3164000000000001,0.24794,0.2568716666666667,,,,,,,,,,,,,,,2016-04-09 00:00:00,2016-04-09 00:00:00
1,100.02083333333333,0.3432854999999999,0.45375422200004545,0.4921465414169388,,0.2470320000000001,0.3151078928571428,0.24806321428571432,0.2567867857142858,,,,,,,,,,,,,,,2016-04-09 00:30:00,2016-04-09 00:30:00
2,100.04166666666667,0.3418893999999998,0.45156306384311307,0.4901340775128744,,0.2464738666666665,0.3139780999999999,0.24792466666666674,0.2566646666666669,,,,,,,,,,,,,,,2016-04-09 01:00:00,2016-04-09 01:00:00
3,100.0625,0.3405756785714287,0.45002136448861774,0.49027381632193445,,0.24571853571428567,0.3125770714285716,0.24772642857142868,0.2564910714285715,,,,,,,,,,,,,,,2016-04-09 01:30:00,2016-04-09 01:30:00
4,100.08333333333333,0.33917813333333313,0.4479123275151292,0.4911341782528015,,0.2449290333333334,0.31138676666666665,0.2474953333333333,0.2563503333333332,,,,,,,,,,,,,,,2016-04-09 02:00:00,2016-04-09 02:00:00
5,100.10416666666667,0.33784417857142846,0.44554650878047997,0.4906653534017271,,0.24417014285714292,0.31028117857142845,0.24718428571428563,0.2561789285714285,,,,,,,,,,,,,,,2016-04-09 02:30:00,2016-04-09 02:30:00
6,100.125,0.33650733333333327,0.44317667399231186,0.48939584930135915,,0.2432845333333334,0.3091143666666667,0.24682066666666674,0.25592866666666664,,,,,,,,,,,,,,,2016-04-09 03:00:00,2016-04-09 03:00:00
7,100.14583333333333,0.3353511428571426,0.44120895511368474,0.48808080808287146,,0.24241885714285719,0.30784646428571427,0.24644499999999991,0.25562035714285714,,,,,,,,,,,,,,,2016-04-09 03:30:00,2016-04-09 03:30:00
8,100.16666666666667,0.3339781666666666,0.43898595412732677,0.48744652864379046,,0.24142076666666687,0.3065429666666667,0.2459389999999999,0.2551926666666668,,,,,,,,,,,,,,,2016-04-09 04:00:00,2016-04-09 04:00:00
9,100.1875,0.33366021428571413,0.4369528967950378,0.4865248110170942,,0.24037924999999996,0.30534767857142864,0.2454346428571429,0.2547824999999999,,,,,,,,,,,,,,,2016-04-09 04:30:00,2016-04-09 04:30:00
10,100.20833333333333,0.3328451000000001,0.4348310012759168,0.4858770599757254,,0.2391184666666665,0.3041011333333332,0.24491166666666653,0.25429566666666664,,,,,,,,,,,,,,,2016-04-09 05:00:00,2016-04-09 05:00:00
11,100.22916666666667,0.33192592857142866,0.43309610040538116,0.48516364556427427,,0.23792317857142867,0.3027100714285713,0.24433392857142855,0.2537310714285715,,,,,,,,,,,,,,,2016-04-09 05:30:00,2016-04-09 05:30:00
12,100.25,0.3303968666666668,0.43190524355458093,0.48468107357228596,,0.23648726666666672,0.3010613000000001,0.24363899999999983,0.2530919999999999,,,,,,,,,,,,,,,2016-04-09 06:00:00,2016-04-09 06:00:00
13,100.27083333333333,0.3285223928571427,0.4311712596549012,0.484363893591478,,0.23514674999999993,0.29931428571428575,0.24292928571428563,0.25249892857142864,,,,,,,,,,,,,,,2016-04-09 06:30:00,2016-04-09 06:30:00
14,100.29166666666667,0.32710085666666655,0.42962608060643326,0.48375610699350824,,0.23373646666666661,0.2980214666666666,0.24229733333333342,0.25184999999999996,,,,,,,,,,,,,,,2016-04-09 07:00:00,2016-04-09 07:00:00
15,100.3125,0.3262808285714286,0.4284052740680697,0.4821347195329926,,0.23221014285714295,0.2963029285714286,0.24159035714285715,0.2510614285714287,,,,,,,,,,,,,,,2016-04-09 07:30:00,2016-04-09 07:30:00
16,100.33333333333333,0.32600623333333345,0.42837757287126466,0.4822702075029377,,0.23048733333333346,0.2946527333333333,0.24074866666666644,0.2503166666666667,,,,,,,,,,,,,,,2016-04-09 08:00:00,2016-04-09 08:00:00
17,100.35416666666667,0.32557410714285706,0.4278658099355378,0.4819881266555317,,0.22886775000000006,0.2931420714285713,0.24050607142857128,0.24960750000000015,,,,,,,,,,,,,,,2016-04-09 08:30:00,2016-04-09 08:30:00
18,100.375,0.3255469366666668,0.4277480607731089,0.4819281962245122,,0.22728803333333333,0.2915032666666665,0.23983633333333332,0.24897499999999995,,,,,,,,,,,,,,,2016-04-09 09:00:00,2016-04-09 09:00:00
19,100.39583333333333,0.32545704285714283,0.42755447178293104,0.4818000109538313,,0.22574960714285716,0.29000257142857155,0.23945464285714296,0.24831785714285726,,,,,,,,,,,,,,,2016-04-09 09:30:00,2016-04-09 09:30:00
20,100.41666666666667,0.3261033533333334,0.42790904918738903,0.4813504417253064,,0.22470666666666664,0.2885431666666667,0.23920000000000008,0.2477943333333334,,,,,,,,,,,,,,,2016-04-09 10:00:00,2016-04-09 10:00:00
21,100.4375,0.3262851642857142,0.42837907029209876,0.48065948175809003,,0.22370999999999983,0.2872902142857142,0.2390110714285713,0.24737321428571418,,,,,,,,,,,,,,,2016-04-09 10:30:00,2016-04-09 10:30:00
22,100.45833333333333,0.32654646333333326,0.42976876820092624,0.4813921688843096,,0.22287280000000012,0.2857823999999999,0.2389163333333333,0.2471503333333332,,,,,,,,,,,,,,,2016-04-09 11:00:00,2016-04-09 11:00:00
